sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,colorofmaterial,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,dimension,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,surfacefinish,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,wheretouse,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
PremiumBlack,,stones,simple,flooring/granites,"Default Category",base,,Brown,,,"2015-06-02 05:31:45",,,,," Premium Black has almost become the de facto standard for household purposes in some countries. Its low water absorption feature with excellent weather durability makes it a popular color. This stone posesses an interlocking crystaline texture but unlike other granites, they contain little or no quartz. Such rocks beacuse of their relatively high content of iron and magnesium are designated as Ferromagnesium.

Also known as 	Black Absolute, Indian Black
Country of Origin 	India
Where to use 	Inside Flooring, Inside Wall
Dimension 	12x12
Thickness 	0.37""
Material 	Granite
Color of Material 	Black
Surface Finish 	Polished
Pieces Per Box 	10
Pieces Per Crate 	420
Sqft per Piece 	1
Sqft Per Box 	10
Sqft Per Crate 	420
Weight Per Piece 	6
Weight Per Box 	60
Weight Per Crate 	2520
Product Price is 	Per Piece",12x12,,,,0,/p/r/prod-box-list-img6_1.png,,,,,,,,,"Use config","Use config","Premium Black 12x12 Polished","2015-01-06 00:00:00","2015-04-06 00:00:00","Product Info Column",,4.9400,0,"Premium Black has almost become the de facto standard for household purposes in some countries. Its low water absorption feature with excellent weather durability makes it a popular color.
",/p/r/prod-box-list-img6.png,,,,,1," Honed Unfilled Chipped & Brushed ",2,/p/r/prod-box-list-img6_2.png,,"2015-01-07 05:33:03",premium-black-12x12-polished,premium-black-12x12-polished.html,4,6.0000,"Back Splash",12.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,1,4.9400,88,/p/r/prod-box-list-img6_1.png,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,2,4.6500,88,/p/r/prod-box-list-img6.png,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/p/r/prod-box-list-img6_2.png,,3,0
BlackRustClassic,,stones,simple,flooring/granites,"Default Category",base,,"Cream / Beige ",,,"2015-01-07 05:42:12",,,,," Black Rust Classic 12x12 Gauged.Black Rust Slate from India is rich with black, rusts and oranges. It is recommended for interior use for floors and walls and for exterior uses in areas without freezing temperatures.

Also known as 	No
Country of Origin 	India
Where to use 	Back Splash, Inside Flooring, Inside Wall, Outside Flooring, Outside Wall, Wet Areas
Dimension 	12x12
Thickness 	0.37""
Material 	Slate
Color of Material 	Black, Grey, Multicolor
Surface Finish 	Gauged
Pieces Per Box 	10
Pieces Per Crate 	420
Sqft per Piece 	1
Sqft Per Box 	10
Sqft Per Crate 	420
Weight Per Piece 	6
Weight Per Box 	60
Weight Per Crate 	2520
Product Price is 	Per Piece",,,,,0,/m/o/most-view-prod-img5.jpg,,,,,,,,,"Use config","Use config","Black Rust Classic 12x12 Gauged","2015-01-06 00:00:00","2015-06-06 00:00:00","Product Info Column",,1.6300,0,"Black Rust Classic 12x12 Gauged
",/m/o/most-view-prod-img5_2.jpg,,,,,1," Honed Unfilled Chipped & Brushed ",2,/m/o/most-view-prod-img5_1.jpg,,"2015-01-07 05:42:12",black-rust-classic-12x12-gauged,black-rust-classic-12x12-gauged.html,4,6.0000,Facade,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,1,1.6300,88,/m/o/most-view-prod-img5.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,2,1.5300,88,/m/o/most-view-prod-img5_2.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/o/most-view-prod-img5_1.jpg,,3,0
PremiumBlackSlate,,stones,simple,flooring/granites,"Default Category",base,,Grey,,,"2015-01-07 05:49:11",,,,," Premium Black Slate Classic 12x12 Gauged are deep and rich black with deep blue undertones. They are available in a variety of sizes and recommended uses include flooring and walls in both residential and commercial projects.

Also known as 	No
Country of Origin 	China
Where to use 	Back Splash, Inside Flooring, Inside Wall, Outside Flooring, Outside Wall, Wet Areas
Dimension 	12x12
Thickness 	0.37""
Material 	Slate
Color of Material 	Black, Blue, Grey
Surface Finish 	Gauged
Pieces Per Box 	10
Pieces Per Crate 	420
Sqft per Piece 	1
Sqft Per Box 	10
Sqft Per Crate 	420
Weight Per Piece 	6
Weight Per Box 	60
Weight Per Crate 	2520
Product Price is 	Per Piece",12x12,,,,0,/m/o/most-pop-fea-img1.jpg,,,,,,,,,"Use config","Use config","Premium Black Slate Classic 12x12 Gauged ","2015-01-06 00:00:00","2015-05-06 00:00:00","Product Info Column",,3.7500,0,"Premium Black Slate Classic 12x12 Gauged
",/m/o/most-pop-fea-img1_1.jpg,,"2015-01-06 00:00:00",1.8800,,1,"Brushed and Chipped Edge ",2,/m/o/most-pop-fea-img1_2.jpg,,"2015-01-07 05:49:11",premium-black-slate-classic-12x12-gauged,premium-black-slate-classic-12x12-gauged.html,4,6.0000,"Inside Flooring",10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/o/most-pop-fea-img1.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/o/most-pop-fea-img1_1.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/o/most-pop-fea-img1_2.jpg,,3,0
MontaukBlue,,stones,simple,flooring/granites,"Default Category",base,,Grey,,,"2015-06-02 06:03:19",,,,," Montauk Blue 12X12 Gauged slate tiles are available in a wide variety of tile sizes and has low variations of Blue's and Grey's. It is recommended for exterior projects in climates with no freezing temperatures for flooring and walls.

Also known as 	No
Country of Origin 	Brazil
Where to use 	Back Splash, Inside Flooring, Inside Wall, Outside Flooring, Outside Wall, Wet Areas
Dimension 	12x12
Thickness 	0.37""
Material 	Slate
Color of Material 	Blue, Grey
Surface Finish 	Gauged
Pieces Per Box 	10
Pieces Per Crate 	600
Sqft per Piece 	1
Sqft Per Box 	10
Sqft Per Crate 	600
Weight Per Piece 	6
Weight Per Box 	60
Weight Per Crate 	3600
Product Price is 	Per Piece",12x12,,,,0,/m/o/most-pop-fea-img10.jpg,,,,,,,,,"Use config","Use config","Montauk Blue 12X12 Gauged","2015-01-06 00:00:00","2015-03-06 00:00:00","Product Info Column",,2.4500,0,"Montauk Blue 12X12 Gauged",/m/o/most-pop-fea-img10_1.jpg,,,,,1," Honed Unfilled Chipped & Brushed ",2,/m/o/most-pop-fea-img10_2.jpg,,"2015-01-07 06:05:14",montauk-blue-12x12-gauged,montauk-blue-12x12-gauged.html,4,6.0000,"Inside Wall",10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,1,2.4500,88,/m/o/most-pop-fea-img10.jpg,,1,0
